Extension,Count,Percentage,Category,Examples
abt,207,0.01%,Unkategorisiert,00000003.abt; 00000003.abt; 00000003.abt
rsd,205,0.01%,Unkategorisiert,RNKFX32.RSD; RNKFX32.RSD; RNKFX32.RSD
qxd,202,0.01%,Unkategorisiert,26 PURIFICATION RUNDOWN PREGNANCY AND BREAST-FEEDING.qxd; 27 Method 9 Word Clearing the Right Way.qxd; 31.qxd
aug.rtf,198,0.01%,Unkategorisiert,Ot33_347.aug.rtf; Ot33_347.aug.rtf; Ot33_347.aug.rtf
t86.rtf,198,0.01%,Unkategorisiert,Ot404sep.t86.rtf; Ot402sep.t86.rtf; Ot406sep.t86.rtf
jul.rtf,197,0.01%,Unkategorisiert,Ot34_356.jul.rtf; Gmc30a23.jul.rtf; Gmc30a23.jul.rtf
s.rtf,193,0.01%,Unkategorisiert,Key_game.s.rtf; Dn_axiom.s.rtf; Spots_c_.s.rtf
may.rtf,184,0.01%,Unkategorisiert,Ot_13_26.may.rtf; Ot_14_30.may.rtf; Games_11.may.rtf
md5,182,0.01%,Unkategorisiert,checksums.md5; checksums.md5; checksums.md5
csv,181,0.01%,📊 Daten,qryExport_Author.csv; fileliste-Videos.csv; as032002_9458096345.csv
fzb,175,0.01%,Unkategorisiert,1355.FZB; 1351.FZB; 1026.FZB
opy.pdf,172,0.01%,Unkategorisiert,Chartb_c.opy.pdf; Chartd_c.opy.pdf; Chartd_c.opy.pdf
p.rtf,170,0.01%,Unkategorisiert,Tb__12_w.p.rtf; Tb__11_w.p.rtf; Tb__12_w.p.rtf
wmv,169,0.01%,🎬 Video,AHMC03.wmv; AHMC07.wmv; talkshow1998.wmv
min.css,161,0.01%,Unkategorisiert,pathfora.min.css; hovercard.min.css; hovercard.min.css
mix,160,0.01%,Unkategorisiert,OT_III_List_of_Volcanoes.mix; OT_III_List_of_Volcanoes.mix; OT_III_List_of_Volcanoes.mix
_thumbs.db,156,0.01%,Unkategorisiert,._Thumbs.db; ._Thumbs.db; ._Thumbs.db
ocx,155,0.01%,Unkategorisiert,Threed20.ocx; Threed20.ocx; Threed20.ocx
avi,151,0.01%,🎬 Video,________ ___.avi; 05_m-theory_11th_dimension.avi; Farscape 3x12 - Meltdown. ____________ (Rus).avi
ods,148,0.01%,📊 Daten,PL671205 SHSBC Checksheet 1967 Level VI - table R4.ods; Liste der BASICS books & Lectures Packs.ods; Liste der BASICS books & Lectures Packs.ods
_hcl.html,143,0.01%,Unkategorisiert,._HCL.html; ._HCL.html; ._HCL.html
srt,140,0.01%,Unkategorisiert,DVD3-The_Freedoms_of_Clear-English.srt; DVD1-The_Fact_of_Clearing-Danish.srt; DVD3-The_Freedoms_of_Clear-Portugese.srt
_somu.html,140,0.01%,Unkategorisiert,._somu.html; ._somu.html; ._somu.html
ogy,139,0.01%,Unkategorisiert,SCIENTO4.OGY; SCIENTO2.OGY; SCIENTOL.OGY
eml,137,0.01%,Unkategorisiert,"Per Schötz on David Mayo, NOTs 1978.eml; Sea Org 1972 tapes.eml; Critique re Mayo-tape quality mp3.eml"
c19.rtf,131,0.01%,Unkategorisiert,Gmgc16de.c19.rtf; Gmgc16de.c19.rtf; Gmgc16de.c19.rtf
fin.rtf,130,0.01%,Unkategorisiert,TECHBRIE.FIN.rtf; Techbrie.fin.rtf; Techbrie.fin.rtf
wld,130,0.01%,Unkategorisiert,00000000.wld; 00000000.wld; 00000000.wld
lot.rtf,129,0.01%,Unkategorisiert,Bodyswpi.lot.rtf; Bodyswp1.lot.rtf; Bodyswp1.lot.rtf
tsv,127,0.01%,📊 Daten,out-191225-list-of-all-files-in-this-v024-1.tsv; DeDuplicateout9--1-191226-list-of-all-files-in-this-v025.tsv; R19-200814-list-of-all-files-in-eBib-v032.tsv
m9,127,0.01%,Unkategorisiert,P730920.M9; P730920.M9; P730920.M9
ons.rtf,126,0.01%,Unkategorisiert,Definiti.ons.rtf; Definiti.ons.rtf; Definiti.ons.rtf
cue,123,0.01%,Unkategorisiert,L. Ron Hubbard - Wissenschaft des Überlebens 5.cue; L. Ron Hubbard - Wissenschaft des Überlebens 5.cue; L. Ron Hubbard - 5 Ethic der Scn.cue
rot.rtf,120,0.01%,Unkategorisiert,Ot14ppfo.rot.rtf; Ot15ppfo.rot.rtf; Ot15ppfo.rot.rtf
pdx,117,0.01%,Unkategorisiert,index.pdx; index.pdx; index.pdx
mpg,113,0.01%,Unkategorisiert,V160.mpg; Scientomogy Room in Tom Cruise's closet.mpg; Scientomogy Room in Tom Cruise's closet.mpg
yco.rtf,112,0.01%,Unkategorisiert,Ot1327ma.yco.rtf; Ot1327ma.yco.rtf; Ot1327ma.yco.rtf
car.rtf,112,0.01%,Unkategorisiert,Pxproce1.car.rtf; Pxproce6.car.rtf; Pxproce6.car.rtf
dln,110,0.01%,Unkategorisiert,W4W62T.dln; W4W62T.dln; W4W62T.dln
mar.rtf,110,0.01%,Unkategorisiert,Briefsum.mar.rtf; Briefsum.mar.rtf; Briefsum.mar.rtf
the.rtf,108,0.01%,Unkategorisiert,Csforphi.the.rtf; Csforphi.the.rtf; Csforphi.the.rtf
err.pdf,107,0.01%,Unkategorisiert,Basicsab.err.pdf; Basicsab.err.pdf; Basicsab.err.pdf
ing.rtf,103,0.01%,Unkategorisiert,STATICBE.ING.rtf; Lta_runn.ing.rtf; Lta_runn.ing.rtf
ach.pdf,102,0.01%,Unkategorisiert,Pstatic1.ach.pdf; Pstatic1.ach.pdf; Pstatic1.ach.pdf
com,101,0.01%,Unkategorisiert,MOVIESE2.COM; MOVIESE2.COM; _WWW_WWA.COM
tmp,100,0.01%,Unkategorisiert,~WRL2352.tmp; ~WRL1196.tmp; ~WRL1747.tmp
stp,100,0.01%,Unkategorisiert,VDK10.STP; vdk10.stp; VDK10.STP
pl,99,0.01%,Unkategorisiert,Search-for-Dates-R18.pl; list-all-files-v009.pl; Search-for-Dates-R10.pl
